id,balance,duration,housing,loan,campaign,y,default
0,0.092259365,0.053070354,yes,no,1,no,yes
1,0.073066657,0.030703538,yes,no,1,no,yes
2,0.072821528,0.015453436,yes,yes,1,no,yes
3,0.086476132,0.018706791,yes,no,1,no,yes
4,0.072812449,0.040260268,no,no,1,no,no
5,0.074900586,0.028263522,yes,no,1,no,yes
6,0.07686162,0.044123627,yes,yes,1,no,yes
7,0.072821528,0.077267182,yes,no,1,no,yes
8,0.073901912,0.010166734,yes,no,1,no,yes
9,0.078187133,0.011183408,yes,no,1,no,yes
10,0.075254662,0.045140301,yes,no,1,no,yes
11,0.076344125,0.027856852,yes,no,1,no,yes
12,0.072857843,0.105124034,yes,no,1,no,yes
13,0.073447969,0.014436763,yes,no,1,no,yes
14,0.074274145,0.035380236,yes,no,1,no,yes
15,0.074882429,0.071777145,yes,no,1,no,yes
16,0.072921395,0.0199268,yes,no,1,no,yes
17,0.073275471,0.007726718,yes,no,1,no,yes
18,0.073348102,0.044530297,yes,no,1,no,yes
19,0.07280337,0.010980073,yes,no,1,no,yes
20,0.079367385,0.053273688,yes,yes,1,no,yes
21,0.079875801,0.033346889,yes,no,1,no,yes
22,0.073012184,0.03253355,yes,yes,1,no,yes
23,0.073257313,0.069540464,yes,no,1,no,yes
24,0.07280337,0.036803579,yes,yes,1,no,yes
25,0.069426035,0.034973566,yes,no,1,no,yes
26,0.075118479,0.060187068,yes,no,1,no,yes
27,0.073829281,0.025823505,yes,yes,1,no,yes
28,0.070569971,0.051850346,yes,no,2,no,yes
29,0.075209268,0.070760472,yes,yes,1,no,yes
30,0.080420533,0.045750305,no,yes,1,no,no
31,0.076235179,0.046766978,yes,no,1,no,yes
32,0.073157446,0.042293615,yes,yes,1,no,yes
33,0.07280337,0.04595364,yes,no,1,no,yes
34,0.169357035,0.068320455,yes,no,1,no,yes
35,0.073375338,0.049206995,yes,no,1,no,yes
36,0.072739818,0.074217161,yes,no,1,no,yes
37,0.072776133,0.338755592,no,no,1,no,no
38,0.077397273,0.117324115,yes,no,1,no,yes
39,0.07280337,0.027856852,yes,no,1,no,yes
40,0.096281299,0.03253355,yes,no,1,no,yes
41,0.073248234,0.036600244,yes,no,2,no,yes
42,0.073747571,0.004473363,yes,no,1,no,yes
43,0.077606086,0.303375356,yes,no,1,no,yes
44,0.073674941,0.125254168,yes,no,1,no,yes
45,0.071250885,0.049206995,yes,no,1,no,yes
46,0.069498665,0.072183815,yes,no,1,no,yes
47,0.07280337,0.045750305,yes,no,2,no,yes
48,0.07280337,0.03253355,no,no,1,no,no
