id,marital_0,marital_1,marital_2,education_0,education_1,education_2,education_3,age
44202,0,0,1,0,1,0,0,38
16088,0,1,0,0,1,0,0,35
11274,1,0,0,0,1,0,0,44
34936,0,1,0,0,1,0,0,32
24193,0,1,0,0,1,0,0,35
5218,0,1,0,0,1,0,0,33
13588,0,1,0,0,1,0,0,35
43263,0,1,0,0,1,0,0,61
28117,0,1,0,0,1,0,0,48
18206,0,1,0,0,1,0,0,44
22579,0,1,0,0,0,1,0,30
35823,0,0,1,0,0,1,0,26
37169,0,0,1,0,1,0,0,28
20554,0,0,1,0,1,0,0,38
20786,0,1,0,0,1,0,0,51
11018,0,1,0,1,0,0,0,50
3392,0,1,0,0,1,0,0,53
6395,0,1,0,0,1,0,0,58
5425,1,0,0,0,1,0,0,37
23678,0,0,1,0,0,1,0,32
1930,0,0,1,0,0,1,0,31
42974,1,0,0,0,1,0,0,55
8973,0,1,0,0,1,0,0,48
4749,1,0,0,0,1,0,0,30
11792,0,1,0,1,0,0,0,35
27812,0,0,1,0,1,0,0,28
22378,0,1,0,1,0,0,0,46
5877,1,0,0,0,1,0,0,35
18820,1,0,0,0,1,0,0,39
32704,0,1,0,1,0,0,0,53
22926,0,1,0,0,0,0,1,60
21053,0,0,1,0,0,1,0,35
20844,0,1,0,0,1,0,0,58
5936,0,1,0,0,1,0,0,32
34830,0,0,1,0,1,0,0,26
33232,0,1,0,0,0,1,0,48
27822,0,1,0,0,1,0,0,58
8879,1,0,0,1,0,0,0,54
32720,0,1,0,0,1,0,0,34
12662,0,0,1,0,1,0,0,28
358,0,1,0,0,1,0,0,40
22792,0,1,0,0,0,1,0,39
6497,0,0,1,0,1,0,0,26
24077,0,1,0,0,0,1,0,36
28383,0,0,1,0,1,0,0,30
18123,1,0,0,0,1,0,0,44
12827,1,0,0,0,1,0,0,35
21884,1,0,0,0,1,0,0,42
22502,0,1,0,0,0,1,0,47
7738,0,1,0,0,0,1,0,51
13264,0,0,1,0,1,0,0,27
4585,0,1,0,0,1,0,0,35
36407,0,0,1,0,1,0,0,34
16697,0,0,1,0,0,1,0,36
35877,0,1,0,1,0,0,0,43
2716,1,0,0,0,0,1,0,41
19656,0,0,1,0,1,0,0,33
4338,0,0,1,0,1,0,0,24
29612,0,1,0,0,0,1,0,34
14506,0,1,0,0,1,0,0,28
20587,0,1,0,0,0,1,0,39
40910,0,1,0,0,1,0,0,80
41439,0,1,0,0,0,0,1,73
14546,1,0,0,0,1,0,0,53
14030,0,1,0,0,1,0,0,38
17869,0,0,1,0,1,0,0,26
22375,0,1,0,0,0,1,0,38
42265,0,1,0,0,0,1,0,63
26945,0,0,1,0,1,0,0,31
12923,0,0,1,0,1,0,0,34
9672,0,1,0,1,0,0,0,41
13715,1,0,0,0,0,1,0,54
7347,0,1,0,0,0,0,1,50
38538,1,0,0,1,0,0,0,52
11126,0,1,0,1,0,0,0,51
9395,0,1,0,0,1,0,0,36
32101,0,1,0,0,1,0,0,40
10579,0,1,0,0,1,0,0,53
32357,0,1,0,0,0,1,0,43
27608,0,1,0,0,0,0,1,38
23722,0,0,1,0,0,1,0,31
40258,0,1,0,0,1,0,0,32
5685,1,0,0,1,0,0,0,51
4103,0,0,1,0,1,0,0,43
22911,0,1,0,0,0,1,0,50
10508,0,1,0,0,1,0,0,38
44700,0,1,0,0,0,1,0,34
42296,0,0,1,0,1,0,0,27
4792,0,0,1,1,0,0,0,40
33182,0,1,0,0,1,0,0,31
31921,0,0,1,0,1,0,0,31
14132,0,0,1,0,0,1,0,35
28947,0,1,0,0,1,0,0,61
23053,0,0,1,0,0,1,0,37
27940,0,0,1,0,1,0,0,36
9668,0,1,0,0,1,0,0,27
474,0,1,0,0,1,0,0,34
34892,0,0,1,0,1,0,0,31
14019,0,0,1,0,0,1,0,30
8835,0,1,0,0,1,0,0,47
29048,0,1,0,1,0,0,0,49
28207,0,1,0,0,1,0,0,28
33319,0,1,0,0,1,0,0,60
21123,1,0,0,0,0,1,0,42
44704,0,1,0,0,0,1,0,52
22537,0,0,1,0,0,1,0,32
4247,0,0,1,0,1,0,0,23
13362,0,1,0,1,0,0,0,30
9551,0,0,1,0,0,0,1,30
16307,0,1,0,0,0,1,0,34
34312,0,0,1,0,0,1,0,34
387,0,1,0,0,1,0,0,32
37366,0,1,0,0,1,0,0,35
45064,0,1,0,0,1,0,0,52
33140,0,1,0,1,0,0,0,43
4960,0,0,1,0,0,1,0,41
2697,0,1,0,1,0,0,0,44
4794,0,1,0,0,1,0,0,38
8574,0,1,0,0,1,0,0,44
43295,0,1,0,0,1,0,0,42
42782,0,1,0,0,0,1,0,33
29506,0,1,0,0,1,0,0,40
20131,0,1,0,0,0,1,0,36
32325,0,0,1,0,1,0,0,30
3097,0,1,0,1,0,0,0,51
12630,0,1,0,1,0,0,0,40
7039,0,0,1,0,0,0,1,31
43230,0,1,0,0,1,0,0,64
30475,0,1,0,0,0,1,0,55
19503,0,0,1,0,1,0,0,34
44662,0,0,1,0,0,0,1,22
19478,0,1,0,1,0,0,0,32
42894,0,1,0,0,1,0,0,63
27476,0,0,1,0,1,0,0,34
11726,0,1,0,0,1,0,0,53
28346,0,1,0,0,1,0,0,27
6235,0,1,0,0,1,0,0,31
14149,1,0,0,0,1,0,0,60
40928,0,1,0,0,0,1,0,44
42204,0,0,1,0,1,0,0,27
27529,0,0,1,0,1,0,0,32
20651,0,1,0,1,0,0,0,47
34194,0,0,1,0,0,0,1,50
23943,1,0,0,0,0,1,0,46
21892,0,1,0,0,0,1,0,38
37254,0,1,0,1,0,0,0,51
21738,0,1,0,0,1,0,0,53
38742,0,1,0,0,1,0,0,38
41577,0,1,0,0,1,0,0,50
21754,1,0,0,0,1,0,0,43
6144,0,1,0,0,1,0,0,37
2788,0,1,0,1,0,0,0,46
2067,0,1,0,0,1,0,0,43
8177,0,1,0,0,1,0,0,37
20603,0,1,0,1,0,0,0,49
25522,0,1,0,0,0,1,0,55
34116,0,1,0,0,1,0,0,30
23776,0,1,0,0,1,0,0,55
28454,0,0,1,0,0,1,0,27
23068,0,1,0,0,0,1,0,35
30706,1,0,0,0,1,0,0,34
174,1,0,0,0,1,0,0,60
44479,0,1,0,0,1,0,0,71
41826,0,1,0,0,0,1,0,31
15468,0,1,0,1,0,0,0,45
33782,0,0,1,0,1,0,0,22
25308,0,1,0,0,1,0,0,45
16921,0,0,1,1,0,0,0,30
4667,0,1,0,0,1,0,0,35
30635,0,1,0,0,1,0,0,44
31863,0,1,0,1,0,0,0,44
15983,0,1,0,0,0,1,0,31
18398,1,0,0,0,1,0,0,48
31643,0,1,0,0,1,0,0,59
19883,0,1,0,0,0,1,0,32
27522,0,1,0,0,0,1,0,33
11117,0,1,0,0,1,0,0,29
17864,0,1,0,1,0,0,0,57
34126,0,1,0,0,1,0,0,47
23994,0,1,0,0,1,0,0,49
2823,0,1,0,0,1,0,0,40
42649,1,0,0,0,0,1,0,54
33676,0,0,1,0,0,1,0,34
5000,0,0,1,0,0,1,0,32
13949,0,1,0,0,1,0,0,34
8088,0,1,0,1,0,0,0,30
9628,0,1,0,0,1,0,0,60
18551,0,1,0,0,1,0,0,31
44550,0,0,1,0,0,1,0,29
5684,1,0,0,0,1,0,0,46
19304,0,1,0,0,1,0,0,58
35933,0,0,1,0,1,0,0,32
28836,0,1,0,0,1,0,0,29
33886,0,1,0,0,0,1,0,58
20137,0,1,0,1,0,0,0,60
14500,0,1,0,0,1,0,0,29
35686,0,1,0,0,1,0,0,30
40492,0,1,0,0,0,1,0,69
44355,0,0,1,0,1,0,0,27
36138,0,1,0,0,1,0,0,41
41466,0,1,0,0,1,0,0,53
13478,0,0,1,1,0,0,0,30
13546,0,1,0,0,1,0,0,39
25261,0,1,0,1,0,0,0,46
13488,0,1,0,0,1,0,0,60
20532,0,1,0,1,0,0,0,46
11168,0,1,0,0,1,0,0,35
26667,0,1,0,0,1,0,0,37
11793,1,0,0,0,1,0,0,55
9039,0,1,0,0,1,0,0,44
6377,0,1,0,1,0,0,0,45
12538,0,1,0,0,1,0,0,33
39853,0,0,1,0,0,1,0,36
16472,0,0,1,0,1,0,0,29
38114,0,0,1,0,1,0,0,28
35253,0,0,1,0,0,1,0,36
44206,0,1,0,0,1,0,0,26
41085,0,1,0,0,0,0,1,46
43861,0,1,0,0,1,0,0,28
32277,1,0,0,0,1,0,0,39
23420,0,1,0,0,0,1,0,48
22458,0,1,0,0,1,0,0,46
23227,0,1,0,0,1,0,0,48
21916,0,1,0,0,0,1,0,39
37847,0,0,1,0,0,1,0,36
32911,1,0,0,1,0,0,0,47
21634,0,0,1,0,0,1,0,40
44089,0,1,0,0,1,0,0,37
29657,1,0,0,0,1,0,0,37
43571,0,1,0,1,0,0,0,66
2072,0,1,0,1,0,0,0,31
33382,1,0,0,0,0,1,0,50
2511,0,1,0,0,1,0,0,45
15558,1,0,0,0,1,0,0,44
84,0,1,0,0,0,1,0,46
32922,0,0,1,0,1,0,0,29
41122,0,0,1,0,0,1,0,26
31233,1,0,0,0,1,0,0,94
1033,0,1,0,1,0,0,0,39
9630,0,0,1,1,0,0,0,48
41385,0,1,0,1,0,0,0,63
1107,0,1,0,1,0,0,0,43
34845,0,0,1,0,1,0,0,32
5171,0,1,0,0,1,0,0,46
12658,0,1,0,1,0,0,0,54
22384,0,1,0,0,0,1,0,53
32471,1,0,0,1,0,0,0,40
37819,0,1,0,0,1,0,0,34
7848,0,1,0,0,1,0,0,40
26138,0,1,0,0,1,0,0,52
5846,0,0,1,0,0,1,0,28
8928,0,1,0,0,0,1,0,36
9080,0,1,0,0,1,0,0,37
8459,0,1,0,0,1,0,0,43
14699,0,1,0,0,1,0,0,39
31965,1,0,0,0,1,0,0,43
36773,0,0,1,0,1,0,0,28
3902,0,1,0,0,1,0,0,30
13628,0,0,1,1,0,0,0,33
5573,0,1,0,0,1,0,0,39
23232,0,1,0,0,0,1,0,48
20405,1,0,0,0,1,0,0,50
34617,0,0,1,1,0,0,0,44
29680,0,1,0,0,1,0,0,53
15745,0,1,0,0,1,0,0,33
30954,0,0,1,0,1,0,0,36
29631,0,1,0,0,0,0,1,31
44336,0,1,0,0,0,1,0,32
252,0,0,1,0,1,0,0,34
27926,1,0,0,0,0,1,0,50
38733,0,1,0,0,0,1,0,33
2589,0,0,1,0,1,0,0,31
40891,0,0,1,0,1,0,0,37
18153,0,0,1,0,1,0,0,26
41019,0,0,1,0,0,1,0,30
14713,0,0,1,0,1,0,0,31
12648,1,0,0,1,0,0,0,45
15944,0,1,0,0,0,1,0,25
10729,0,0,1,0,0,1,0,42
32126,0,1,0,1,0,0,0,49
30642,0,1,0,1,0,0,0,59
3795,0,0,1,0,0,0,1,30
41946,0,1,0,0,0,0,1,78
31002,0,0,1,0,0,1,0,31
15394,0,0,1,0,1,0,0,31
7750,0,1,0,0,1,0,0,46
23825,0,1,0,0,0,1,0,32
20955,0,0,1,0,1,0,0,30
19849,0,1,0,0,0,1,0,34
33230,0,1,0,0,1,0,0,45
33366,0,1,0,1,0,0,0,34
36582,0,1,0,0,1,0,0,42
12220,0,1,0,0,0,0,1,53
34472,1,0,0,0,0,1,0,55
9757,1,0,0,1,0,0,0,45
31029,0,1,0,0,0,1,0,57
3627,0,0,1,0,1,0,0,23
44311,0,1,0,0,0,0,1,46
17274,0,0,1,0,1,0,0,30
38726,0,1,0,0,0,1,0,35
31890,0,0,1,0,1,0,0,29
24366,1,0,0,0,1,0,0,56
18368,0,1,0,0,1,0,0,43
9985,0,0,1,0,1,0,0,41
35598,0,1,0,0,1,0,0,35
33228,0,1,0,0,1,0,0,37
18267,0,1,0,1,0,0,0,38
35992,0,1,0,0,1,0,0,26
13959,0,1,0,0,0,1,0,30
20013,0,1,0,0,1,0,0,52
12930,0,0,1,0,1,0,0,25
1194,0,1,0,0,0,1,0,43
24315,0,0,1,0,1,0,0,50
11444,0,1,0,1,0,0,0,48
43014,0,0,1,0,1,0,0,27
34440,0,1,0,0,1,0,0,43
126,0,0,1,0,1,0,0,29
8778,0,1,0,0,1,0,0,25
6757,0,1,0,0,0,1,0,32
17094,0,1,0,1,0,0,0,51
41344,1,0,0,0,1,0,0,55
41619,0,0,1,0,0,0,1,19
